날짜,지역,차수,연령대,지표,값
2021-08-22,경기,1차,5-11세,건수,0.0
2021-08-22,경기,1차,5-11세,접종률,0.0005873701324637122
2021-08-22,경기,1차,65세이상,건수,41.0
2021-08-22,경기,1차,65세이상,접종률,91.61189280541481
2021-08-22,경기,1차,6개월-4세,건수,0.0
2021-08-22,경기,1차,6개월-4세,접종률,0.0
2021-08-22,경기,2차,12-64세,건수,417.0
2021-08-22,경기,2차,12-64세,접종률,14.920704223800648
2021-08-22,경기,2차,5-11세,건수,0.0
2021-08-22,경기,2차,5-11세,접종률,0.0002349480529854849
2021-08-22,경기,2차,65세이상,건수,461.0
2021-08-22,경기,2차,65세이상,접종률,58.20190969151318
2021-08-22,경기,2차,6개월-4세,건수,0.0
2021-08-22,경기,2차,6개월-4세,접종률,0.0
2021-08-22,경기,3차,12-64세,건수,4.0
2021-08-22,경기,3차,12-64세,접종률,0.0009913849647958197
2021-08-22,경기,3차,5-11세,건수,0.0
2021-08-22,경기,3차,5-11세,접종률,0.0
2021-08-22,경기,3차,65세이상,건수,0.0
2021-08-22,경기,3차,65세이상,접종률,0.0013606469923367424
2021-08-22,경기,3차,6개월-4세,건수,0.0
2021-08-22,경기,3차,6개월-4세,접종률,0.0
2021-08-22,경남,1차,12-64세,건수,1003.0
2021-08-22,경남,1차,12-64세,접종률,44.33692774261831
2021-08-22,경남,1차,5-11세,건수,0.0
2021-08-22,경남,1차,5-11세,접종률,0.0
2021-08-22,경남,1차,65세이상,건수,1.0
2021-08-22,경남,1차,65세이상,접종률,90.43827655815927
2021-08-22,경남,1차,6개월-4세,건수,0.0
2021-08-22,경남,1차,6개월-4세,접종률,0.0
2021-08-22,경남,2차,12-64세,건수,14.0
2021-08-22,경남,2차,12-64세,접종률,14.075086349560978
2021-08-22,경남,2차,5-11세,건수,0.0
2021-08-22,경남,2차,5-11세,접종률,0.0
2021-08-22,경남,2차,65세이상,건수,4.0
2021-08-22,경남,2차,65세이상,접종률,55.98130550022322
2021-08-22,경남,2차,6개월-4세,건수,0.0
2021-08-22,경남,2차,6개월-4세,접종률,0.0
2021-08-22,경남,3차,12-64세,건수,0.0
2021-08-22,경남,3차,12-64세,접종률,0.0006042958528902176
2021-08-22,경남,3차,5-11세,건수,0.0
2021-08-22,경남,3차,5-11세,접종률,0.0
2021-08-22,경남,3차,65세이상,건수,0.0
2021-08-22,경남,3차,65세이상,접종률,0.00029664391902214297
2021-08-22,경남,3차,6개월-4세,건수,0.0
2021-08-22,경남,3차,6개월-4세,접종률,0.0
2021-08-22,경북,1차,12-64세,건수,992.0
2021-08-22,경북,1차,12-64세,접종률,45.31598160118056
2021-08-22,경북,1차,5-11세,건수,0.0
2021-08-22,경북,1차,5-11세,접종률,0.0014767340549640415
2021-08-22,경북,1차,65세이상,건수,6.0
2021-08-22,경북,1차,65세이상,접종률,89.54042277200914
2021-08-22,경북,1차,6개월-4세,건수,0.0
2021-08-22,경북,1차,6개월-4세,접종률,0.0
2021-08-22,경북,2차,12-64세,건수,19.0
2021-08-22,경북,2차,12-64세,접종률,13.732089485690285
2021-08-22,경북,2차,5-11세,건수,0.0
2021-08-22,경북,2차,5-11세,접종률,0.0
2021-08-22,경북,2차,65세이상,건수,21.0
2021-08-22,경북,2차,65세이상,접종률,55.39909576913147
2021-08-22,경북,2차,6개월-4세,건수,0.0
2021-08-22,경북,2차,6개월-4세,접종률,0.0
2021-08-22,경북,3차,12-64세,건수,0.0
2021-08-22,경북,3차,12-64세,접종률,0.0006903872209325405
2021-08-22,경북,3차,5-11세,건수,0.0
2021-08-22,경북,3차,5-11세,접종률,0.0
2021-08-22,경북,3차,65세이상,건수,0.0
2021-08-22,경북,3차,65세이상,접종률,0.0
2021-08-22,경북,3차,6개월-4세,건수,0.0
2021-08-22,경북,3차,6개월-4세,접종률,0.0
2021-08-22,광주,1차,12-64세,건수,325.0
2021-08-22,광주,1차,12-64세,접종률,45.748463215411824
2021-08-22,광주,1차,5-11세,건수,0.0
2021-08-22,광주,1차,5-11세,접종률,0.0
2021-08-22,광주,1차,65세이상,건수,1.0
2021-08-22,광주,1차,65세이상,접종률,93.3205636769815
2021-08-22,광주,1차,6개월-4세,건수,0.0
2021-08-22,광주,1차,6개월-4세,접종률,0.0
2021-08-22,광주,2차,12-64세,건수,35.0
2021-08-22,광주,2차,12-64세,접종률,16.36018301069434
2021-08-22,광주,2차,5-11세,건수,0.0
2021-08-22,광주,2차,5-11세,접종률,0.0
2021-08-22,광주,2차,65세이상,건수,29.0
2021-08-22,광주,2차,65세이상,접종률,63.103196378061114
2021-08-22,광주,2차,6개월-4세,건수,0.0
2021-08-22,광주,2차,6개월-4세,접종률,0.0
2021-08-22,광주,3차,12-64세,건수,0.0
2021-08-22,광주,3차,12-64세,접종률,0.00028069124898249425
2021-08-22,광주,3차,5-11세,건수,0.0
2021-08-22,광주,3차,5-11세,접종률,0.0
2021-08-22,광주,3차,65세이상,건수,0.0
2021-08-22,광주,3차,65세이상,접종률,0.0
2021-08-22,광주,3차,6개월-4세,건수,0.0
2021-08-22,광주,3차,6개월-4세,접종률,0.0
2021-08-22,대구,1차,12-64세,건수,1914.0
2021-08-22,대구,1차,12-64세,접종률,43.5817762158275
2021-08-22,대구,1차,5-11세,건수,0.0
2021-08-22,대구,1차,5-11세,접종률,0.0007363336475023562
2021-08-22,대구,1차,65세이상,건수,10.0
2021-08-22,대구,1차,65세이상,접종률,88.2124584292658
2021-08-22,대구,1차,6개월-4세,건수,0.0
2021-08-22,대구,1차,6개월-4세,접종률,0.0
2021-08-22,대구,2차,12-64세,건수,34.0
2021-08-22,대구,2차,12-64세,접종률,13.74270735469803
2021-08-22,대구,2차,5-11세,건수,0.0
2021-08-22,대구,2차,5-11세,접종률,0.0007363336475023562
2021-08-22,대구,2차,65세이상,건수,29.0
2021-08-22,대구,2차,65세이상,접종률,52.29022767971349
2021-08-22,대구,2차,6개월-4세,건수,0.0
2021-08-22,대구,2차,6개월-4세,접종률,0.0
2021-08-22,대구,3차,12-64세,건수,0.0
2021-08-22,대구,3차,12-64세,접종률,0.00046394562557268285
2021-08-22,대구,3차,5-11세,건수,0.0
2021-08-22,대구,3차,5-11세,접종률,0.0
2021-08-22,대구,3차,65세이상,건수,0.0
2021-08-22,대구,3차,65세이상,접종률,0.00021318325232369745
2021-08-22,대구,3차,6개월-4세,건수,0.0
2021-08-22,대구,3차,6개월-4세,접종률,0.0
2021-08-22,대전,1차,12-64세,건수,1598.0
2021-08-22,대전,1차,12-64세,접종률,42.49341739068423
2021-08-22,대전,1차,5-11세,건수,0.0
2021-08-22,대전,1차,5-11세,접종률,0.0
2021-08-22,대전,1차,65세이상,건수,4.0
2021-08-22,대전,1차,65세이상,접종률,91.49016564619079
2021-08-22,대전,1차,6개월-4세,건수,0.0
2021-08-22,대전,1차,6개월-4세,접종률,0.0
2021-08-22,대전,2차,12-64세,건수,53.0
2021-08-22,대전,2차,12-64세,접종률,14.681696224735793
2021-08-22,대전,2차,5-11세,건수,0.0
2021-08-22,대전,2차,5-11세,접종률,0.0
2021-08-22,대전,2차,65세이상,건수,34.0
2021-08-22,대전,2차,65세이상,접종률,58.666460810882185
2021-08-22,대전,2차,6개월-4세,건수,0.0
2021-08-22,대전,2차,6개월-4세,접종률,0.0
2021-08-22,대전,3차,12-64세,건수,0.0
2021-08-22,대전,3차,12-64세,접종률,0.00018522994908954851
2021-08-22,대전,3차,5-11세,건수,0.0
2021-08-22,대전,3차,5-11세,접종률,0.0
2021-08-22,대전,3차,65세이상,건수,0.0
2021-08-22,대전,3차,65세이상,접종률,0.0008125886229466902
2021-08-22,대전,3차,6개월-4세,건수,0.0
2021-08-22,대전,3차,6개월-4세,접종률,0.0
2021-08-22,부산,1차,12-64세,건수,1591.0
2021-08-22,부산,1차,12-64세,접종률,44.9681465841121
2021-08-22,부산,1차,5-11세,건수,0.0
2021-08-22,부산,1차,5-11세,접종률,0.0
2021-08-22,부산,1차,65세이상,건수,5.0
2021-08-22,부산,1차,65세이상,접종률,90.45657792400435
2021-08-22,부산,1차,6개월-4세,건수,0.0
2021-08-22,부산,1차,6개월-4세,접종률,0.0
2021-08-22,부산,2차,12-64세,건수,74.0
2021-08-22,부산,2차,12-64세,접종률,14.34552228830683
2021-08-22,부산,2차,5-11세,건수,0.0
2021-08-22,부산,2차,5-11세,접종률,0.0
2021-08-22,부산,2차,65세이상,건수,160.0
2021-08-22,부산,2차,65세이상,접종률,56.375733991174734
2021-08-22,부산,2차,6개월-4세,건수,0.0
2021-08-22,부산,2차,6개월-4세,접종률,0.0
2021-08-22,부산,3차,12-64세,건수,1.0
2021-08-22,부산,3차,12-64세,접종률,0.0012112387381833928
2021-08-22,부산,3차,5-11세,건수,0.0
2021-08-22,부산,3차,5-11세,접종률,0.0
2021-08-22,부산,3차,65세이상,건수,0.0
2021-08-22,부산,3차,65세이상,접종률,0.0010690813651099951
2021-08-22,부산,3차,6개월-4세,건수,0.0
2021-08-22,부산,3차,6개월-4세,접종률,0.0
2021-08-22,서울,1차,12-64세,건수,7254.0
2021-08-22,서울,1차,12-64세,접종률,42.881107962290265
2021-08-22,서울,1차,5-11세,건수,0.0
2021-08-22,서울,1차,5-11세,접종률,0.0011475180332458925
2021-08-22,서울,1차,65세이상,건수,35.0
2021-08-22,서울,1차,65세이상,접종률,91.15979947741685
2021-08-22,서울,1차,6개월-4세,건수,0.0
2021-08-22,서울,1차,6개월-4세,접종률,0.0
2021-08-22,서울,2차,12-64세,건수,419.0
2021-08-22,서울,2차,12-64세,접종률,15.996998504804399
2021-08-22,서울,2차,5-11세,건수,0.0
2021-08-22,서울,2차,5-11세,접종률,0.0002295036066491785
2021-08-22,서울,2차,65세이상,건수,278.0
2021-08-22,서울,2차,65세이상,접종률,58.360547581792034
2021-08-22,서울,2차,6개월-4세,건수,0.0
2021-08-22,서울,2차,6개월-4세,접종률,0.0
2021-08-22,서울,3차,12-64세,건수,10.0
2021-08-22,서울,3차,12-64세,접종률,0.0019645529168699433
2021-08-22,서울,3차,5-11세,건수,0.0
2021-08-22,서울,3차,5-11세,접종률,0.0
2021-08-22,서울,3차,65세이상,건수,1.0
2021-08-22,서울,3차,65세이상,접종률,0.001565314486173925
2021-08-22,서울,3차,6개월-4세,건수,0.0
2021-08-22,서울,3차,6개월-4세,접종률,0.0
2021-08-22,세종,1차,12-64세,건수,273.0
2021-08-22,세종,1차,12-64세,접종률,44.19597429571084
2021-08-22,세종,1차,5-11세,건수,0.0
2021-08-22,세종,1차,5-11세,접종률,0.0
2021-08-22,세종,1차,65세이상,건수,1.0
2021-08-22,세종,1차,65세이상,접종률,91.24131964740818
2021-08-22,세종,1차,6개월-4세,건수,0.0
2021-08-22,세종,1차,6개월-4세,접종률,0.0
2021-08-22,세종,2차,12-64세,건수,5.0
2021-08-22,세종,2차,12-64세,접종률,17.18068275275652
2021-08-22,세종,2차,5-11세,건수,0.0
2021-08-22,세종,2차,5-11세,접종률,0.0
2021-08-22,세종,2차,65세이상,건수,1.0
2021-08-22,세종,2차,65세이상,접종률,58.416142533143166
2021-08-22,세종,2차,6개월-4세,건수,0.0
2021-08-22,세종,2차,6개월-4세,접종률,0.0
2021-08-22,세종,3차,12-64세,건수,1.0
2021-08-22,세종,3차,12-64세,접종률,0.003484854820948159
2021-08-22,세종,3차,5-11세,건수,0.0
2021-08-22,세종,3차,5-11세,접종률,0.0
2021-08-22,세종,3차,65세이상,건수,0.0
2021-08-22,세종,3차,65세이상,접종률,0.0
2021-08-22,세종,3차,6개월-4세,건수,0.0
2021-08-22,세종,3차,6개월-4세,접종률,0.0
2021-08-22,울산,1차,12-64세,건수,545.0
2021-08-22,울산,1차,12-64세,접종률,44.68713542563161
2021-08-22,울산,1차,5-11세,건수,0.0
2021-08-22,울산,1차,5-11세,접종률,0.0
2021-08-22,울산,1차,65세이상,건수,4.0
2021-08-22,울산,1차,65세이상,접종률,90.35931804288269
2021-08-22,울산,1차,6개월-4세,건수,0.0
2021-08-22,울산,1차,6개월-4세,접종률,0.0
2021-08-22,울산,2차,12-64세,건수,12.0
2021-08-22,울산,2차,12-64세,접종률,13.307681641708264
2021-08-22,울산,2차,5-11세,건수,0.0
2021-08-22,울산,2차,5-11세,접종률,0.0
2021-08-22,울산,2차,65세이상,건수,75.0
2021-08-22,울산,2차,65세이상,접종률,53.14318382502774
2021-08-22,울산,2차,6개월-4세,건수,0.0
2021-08-22,울산,2차,6개월-4세,접종률,0.0
2021-08-22,울산,3차,12-64세,건수,1.0
2021-08-22,울산,3차,12-64세,접종률,0.000836728058599652
2021-08-22,울산,3차,5-11세,건수,0.0
2021-08-22,울산,3차,5-11세,접종률,0.0
2021-08-22,울산,3차,65세이상,건수,0.0
2021-08-22,울산,3차,65세이상,접종률,0.0005660334638983857
2021-08-22,울산,3차,6개월-4세,건수,0.0
2021-08-22,울산,3차,6개월-4세,접종률,0.0
2021-08-22,인천,1차,12-64세,건수,2539.0
2021-08-22,인천,1차,12-64세,접종률,42.15551352740988
2021-08-22,인천,1차,5-11세,건수,0.0
2021-08-22,인천,1차,5-11세,접종률,0.0
2021-08-22,인천,1차,65세이상,건수,10.0
2021-08-22,인천,1차,65세이상,접종률,91.00972941865275
2021-08-22,인천,1차,6개월-4세,건수,0.0
2021-08-22,인천,1차,6개월-4세,접종률,0.0
2021-08-22,인천,2차,12-64세,건수,76.0
2021-08-22,인천,2차,12-64세,접종률,13.533926841063495
2021-08-22,인천,2차,5-11세,건수,0.0
2021-08-22,인천,2차,5-11세,접종률,0.0
2021-08-22,인천,2차,65세이상,건수,48.0
2021-08-22,인천,2차,65세이상,접종률,56.33391348830331
2021-08-22,인천,2차,6개월-4세,건수,0.0
2021-08-22,인천,2차,6개월-4세,접종률,0.0
2021-08-22,인천,3차,12-64세,건수,0.0
2021-08-22,인천,3차,12-64세,접종률,0.0007640573060957391
2021-08-22,인천,3차,5-11세,건수,0.0
2021-08-22,인천,3차,5-11세,접종률,0.0
2021-08-22,인천,3차,65세이상,건수,0.0
2021-08-22,인천,3차,65세이상,접종률,0.0007992950217907805
2021-08-22,인천,3차,6개월-4세,건수,0.0
2021-08-22,인천,3차,6개월-4세,접종률,0.0
2021-08-22,전남,1차,12-64세,건수,659.0
2021-08-22,전남,1차,12-64세,접종률,49.39491150258516
2021-08-22,전남,1차,5-11세,건수,0.0
2021-08-22,전남,1차,5-11세,접종률,0.0
2021-08-22,전남,1차,65세이상,건수,0.0
2021-08-22,전남,1차,65세이상,접종률,93.81775107021134
2021-08-22,전남,1차,6개월-4세,건수,0.0
2021-08-22,전남,1차,6개월-4세,접종률,0.0
2021-08-22,전남,2차,12-64세,건수,15.0
2021-08-22,전남,2차,12-64세,접종률,16.547262093039112
2021-08-22,전남,2차,5-11세,건수,0.0
2021-08-22,전남,2차,5-11세,접종률,0.0
2021-08-22,전남,2차,65세이상,건수,23.0
2021-08-22,전남,2차,65세이상,접종률,66.36743606659655
2021-08-22,전남,2차,6개월-4세,건수,0.0
2021-08-22,전남,2차,6개월-4세,접종률,0.0
2021-08-22,전남,3차,12-64세,건수,1.0
2021-08-22,전남,3차,12-64세,접종률,0.00041575408644691566
2021-08-22,전남,3차,5-11세,건수,0.0
2021-08-22,전남,3차,5-11세,접종률,0.0
2021-08-22,전남,3차,65세이상,건수,0.0
2021-08-22,전남,3차,65세이상,접종률,0.00021077525245605865
2021-08-22,전남,3차,6개월-4세,건수,0.0
2021-08-22,전남,3차,6개월-4세,접종률,0.0
2021-08-22,전북,1차,12-64세,건수,849.0
2021-08-22,전북,1차,12-64세,접종률,47.564225432637045
2021-08-22,전북,1차,5-11세,건수,0.0
2021-08-22,전북,1차,5-11세,접종률,0.0
2021-08-22,전북,1차,65세이상,건수,2.0
2021-08-22,전북,1차,65세이상,접종률,93.64147707624159
2021-08-22,전북,1차,6개월-4세,건수,0.0
2021-08-22,전북,1차,6개월-4세,접종률,0.0
2021-08-22,전북,2차,12-64세,건수,34.0
2021-08-22,전북,2차,12-64세,접종률,16.07036884822145
2021-08-22,전북,2차,5-11세,건수,0.0
2021-08-22,전북,2차,5-11세,접종률,0.0
2021-08-22,전북,2차,65세이상,건수,23.0
2021-08-22,전북,2차,65세이상,접종률,65.63118261610086
2021-08-22,전북,2차,6개월-4세,건수,0.0
2021-08-22,전북,2차,6개월-4세,접종률,0.0
2021-08-22,전북,3차,12-64세,건수,0.0
2021-08-22,전북,3차,12-64세,접종률,0.0006082159548947048
2021-08-22,전북,3차,5-11세,건수,0.0
2021-08-22,전북,3차,5-11세,접종률,0.0
2021-08-22,전북,3차,65세이상,건수,0.0
2021-08-22,전북,3차,65세이상,접종률,0.0004704963501245639
2021-08-22,전북,3차,6개월-4세,건수,0.0
2021-08-22,전북,3차,6개월-4세,접종률,0.0
2021-08-22,제주,1차,12-64세,건수,956.0
2021-08-22,제주,1차,12-64세,접종률,44.33400131412769
2021-08-22,제주,1차,5-11세,건수,0.0
2021-08-22,제주,1차,5-11세,접종률,0.0
2021-08-22,제주,1차,65세이상,건수,0.0
2021-08-22,제주,1차,65세이상,접종률,90.80435123254682
2021-08-22,제주,1차,6개월-4세,건수,0.0
2021-08-22,제주,1차,6개월-4세,접종률,0.0
2021-08-22,제주,2차,12-64세,건수,32.0
2021-08-22,제주,2차,12-64세,접종률,15.070711123210728
2021-08-22,제주,2차,5-11세,건수,0.0
2021-08-22,제주,2차,5-11세,접종률,0.0
2021-08-22,제주,2차,65세이상,건수,37.0
2021-08-22,제주,2차,65세이상,접종률,58.518139757366825
2021-08-22,제주,2차,6개월-4세,건수,0.0
2021-08-22,제주,2차,6개월-4세,접종률,0.0
2021-08-22,제주,3차,12-64세,건수,0.0
2021-08-22,제주,3차,12-64세,접종률,0.0006140783604926546
2021-08-22,제주,3차,5-11세,건수,0.0
2021-08-22,제주,3차,5-11세,접종률,0.0
2021-08-22,제주,3차,65세이상,건수,0.0
2021-08-22,제주,3차,65세이상,접종률,0.0
2021-08-22,제주,3차,6개월-4세,건수,0.0
2021-08-22,제주,3차,6개월-4세,접종률,0.0
2021-08-22,충남,1차,12-64세,건수,1514.0
2021-08-22,충남,1차,12-64세,접종률,45.31249054591977
2021-08-22,충남,1차,5-11세,건수,0.0
2021-08-22,충남,1차,5-11세,접종률,0.0
2021-08-22,충남,1차,65세이상,건수,6.0
2021-08-22,충남,1차,65세이상,접종률,92.01231589888411
2021-08-22,충남,1차,6개월-4세,건수,0.0
2021-08-22,충남,1차,6개월-4세,접종률,0.0
2021-08-22,충남,2차,12-64세,건수,32.0
2021-08-22,충남,2차,12-64세,접종률,14.39420270758135
2021-08-22,충남,2차,5-11세,건수,0.0
2021-08-22,충남,2차,5-11세,접종률,0.0
2021-08-22,충남,2차,65세이상,건수,34.0
2021-08-22,충남,2차,65세이상,접종률,61.08855811156217
2021-08-22,충남,2차,6개월-4세,건수,0.0
2021-08-22,충남,2차,6개월-4세,접종률,0.0
2021-08-22,충남,3차,12-64세,건수,0.0
2021-08-22,충남,3차,12-64세,접종률,0.0004706031047703692
2021-08-22,충남,3차,5-11세,건수,0.0
2021-08-22,충남,3차,5-11세,접종률,0.0
2021-08-22,충남,3차,65세이상,건수,0.0
2021-08-22,충남,3차,65세이상,접종률,0.0006537101318533335
2021-08-22,충남,3차,6개월-4세,건수,0.0
2021-08-22,충남,3차,6개월-4세,접종률,0.0
2021-08-22,충북,1차,12-64세,건수,1089.0
2021-08-22,충북,1차,12-64세,접종률,45.10566319387706
2021-08-22,충북,1차,5-11세,건수,0.0
2021-08-22,충북,1차,5-11세,접종률,0.0
2021-08-22,충북,1차,65세이상,건수,7.0
2021-08-22,충북,1차,65세이상,접종률,92.49755949022452
2021-08-22,충북,1차,6개월-4세,건수,0.0
2021-08-22,충북,1차,6개월-4세,접종률,0.0
2021-08-22,충북,2차,12-64세,건수,29.0
2021-08-22,충북,2차,12-64세,접종률,14.24255941208425
2021-08-22,충북,2차,5-11세,건수,0.0
2021-08-22,충북,2차,5-11세,접종률,0.0
2021-08-22,충북,2차,65세이상,건수,33.0
2021-08-22,충북,2차,65세이상,접종률,61.31874102534249
2021-08-22,충북,2차,6개월-4세,건수,0.0
2021-08-22,충북,2차,6개월-4세,접종률,0.0
2021-08-22,충북,3차,12-64세,건수,0.0
2021-08-22,충북,3차,12-64세,접종률,0.00026498606614935497
2021-08-22,충북,3차,5-11세,건수,0.0
2021-08-22,충북,3차,5-11세,접종률,0.0
2021-08-22,충북,3차,65세이상,건수,0.0
2021-08-22,충북,3차,65세이상,접종률,0.0
2021-08-22,충북,3차,6개월-4세,건수,0.0
2021-08-22,충북,3차,6개월-4세,접종률,0.0
2021-08-23,강원,1차,12-64세,건수,9338.0
2021-08-23,강원,1차,12-64세,접종률,49.260031354350886
2021-08-23,강원,1차,5-11세,건수,0.0
2021-08-23,강원,1차,5-11세,접종률,0.002597166491357929
2021-08-23,강원,1차,65세이상,건수,471.0
2021-08-23,강원,1차,65세이상,접종률,91.10113811602702
2021-08-23,강원,1차,6개월-4세,건수,0.0
2021-08-23,강원,1차,6개월-4세,접종률,0.0
2021-08-23,강원,2차,12-64세,건수,10747.0
2021-08-23,강원,2차,12-64세,접종률,18.478190633260464
2021-08-23,강원,2차,5-11세,건수,0.0
2021-08-23,강원,2차,5-11세,접종률,0.0012985832456789644
2021-08-23,강원,2차,65세이상,건수,12207.0
2021-08-23,강원,2차,65세이상,접종률,61.56659281944354
2021-08-23,강원,2차,6개월-4세,건수,0.0
2021-08-23,강원,2차,6개월-4세,접종률,0.0
2021-08-23,강원,3차,12-64세,건수,0.0
2021-08-23,강원,3차,12-64세,접종률,0.0004970569259415004
2021-08-23,강원,3차,5-11세,건수,0.0
2021-08-23,강원,3차,5-11세,접종률,0.0
2021-08-23,강원,3차,65세이상,건수,0.0
2021-08-23,강원,3차,65세이상,접종률,0.0008144914315501401
2021-08-23,강원,3차,6개월-4세,건수,0.0
2021-08-23,강원,3차,6개월-4세,접종률,0.0
2021-08-23,경기,1차,12-64세,건수,88539.0
2021-08-23,경기,1차,12-64세,접종률,43.474013196435415
2021-08-23,경기,1차,5-11세,건수,0.0
2021-08-23,경기,1차,5-11세,접종률,0.0005873701324637122
2021-08-23,경기,1차,65세이상,건수,2156.0
2021-08-23,경기,1차,65세이상,접종률,91.71304987146578
2021-08-23,경기,1차,6개월-4세,건수,0.0
2021-08-23,경기,1차,6개월-4세,접종률,0.0
2021-08-23,경기,2차,12-64세,건수,84555.0
2021-08-23,경기,2차,12-64세,접종률,15.767437109642172
2021-08-23,경기,2차,5-11세,건수,0.0
2021-08-23,경기,2차,5-11세,접종률,0.0002349480529854849
2021-08-23,경기,2차,65세이상,건수,80311.0
2021-08-23,경기,2차,65세이상,접종률,61.97001040191166
2021-08-23,경기,2차,6개월-4세,건수,0.0
2021-08-23,경기,2차,6개월-4세,접종률,0.0
2021-08-23,경기,3차,12-64세,건수,4.0
2021-08-23,경기,3차,12-64세,접종률,0.0010314409229693882
2021-08-23,경기,3차,5-11세,건수,0.0
2021-08-23,경기,3차,5-11세,접종률,0.0
2021-08-23,경기,3차,65세이상,건수,1.0
2021-08-23,경기,3차,65세이상,접종률,0.0014075658541414576
2021-08-23,경기,3차,6개월-4세,건수,0.0
2021-08-23,경기,3차,6개월-4세,접종률,0.0
2021-08-23,경남,1차,12-64세,건수,23373.0
2021-08-23,경남,1차,12-64세,접종률,45.345799669018525
2021-08-23,경남,1차,5-11세,건수,0.0
2021-08-23,경남,1차,5-11세,접종률,0.0
2021-08-23,경남,1차,65세이상,건수,951.0
2021-08-23,경남,1차,65세이상,접종률,90.5793307416543
2021-08-23,경남,1차,6개월-4세,건수,0.0
2021-08-23,경남,1차,6개월-4세,접종률,0.0
2021-08-23,경남,2차,12-64세,건수,23288.0
2021-08-23,경남,2차,12-64세,접종률,15.080289336854364
2021-08-23,경남,2차,5-11세,건수,0.0
2021-08-23,경남,2차,5-11세,접종률,0.0
2021-08-23,경남,2차,65세이상,건수,24844.0
2021-08-23,경남,2차,65세이상,접종률,59.66621626231628
2021-08-23,경남,2차,6개월-4세,건수,0.0
2021-08-23,경남,2차,6개월-4세,접종률,0.0
2021-08-23,경남,3차,12-64세,건수,2.0
2021-08-23,경남,3차,12-64세,접종률,0.0006906238318745343
2021-08-23,경남,3차,5-11세,건수,0.0
2021-08-23,경남,3차,5-11세,접종률,0.0
2021-08-23,경남,3차,65세이상,건수,0.0
2021-08-23,경남,3차,65세이상,접종률,0.00029664391902214297
2021-08-23,경남,3차,6개월-4세,건수,0.0
2021-08-23,경남,3차,6개월-4세,접종률,0.0
2021-08-23,경북,1차,12-64세,건수,14908.0
2021-08-23,경북,1차,12-64세,접종률,46.17367265865242
2021-08-23,경북,1차,5-11세,건수,0.0
2021-08-23,경북,1차,5-11세,접종률,0.0014767340549640415
2021-08-23,경북,1차,65세이상,건수,837.0
2021-08-23,경북,1차,65세이상,접종률,89.67218482579703
2021-08-23,경북,1차,6개월-4세,건수,0.0
2021-08-23,경북,1차,6개월-4세,접종률,0.0
2021-08-23,경북,2차,12-64세,건수,16896.0
2021-08-23,경북,2차,12-64세,접종률,14.704154692763305
2021-08-23,경북,2차,5-11세,건수,0.0
2021-08-23,경북,2차,5-11세,접종률,0.0
2021-08-23,경북,2차,65세이상,건수,20254.0
2021-08-23,경북,2차,65세이상,접종률,58.587517080266224
2021-08-23,경북,2차,6개월-4세,건수,0.0
2021-08-23,경북,2차,6개월-4세,접종률,0.0
2021-08-23,경북,3차,12-64세,건수,1.0
2021-08-23,경북,3차,12-64세,접종률,0.0007479194893435855
2021-08-23,경북,3차,5-11세,건수,0.0
2021-08-23,경북,3차,5-11세,접종률,0.0
2021-08-23,경북,3차,65세이상,건수,0.0
2021-08-23,경북,3차,65세이상,접종률,0.0
2021-08-23,경북,3차,6개월-4세,건수,0.0
2021-08-23,경북,3차,6개월-4세,접종률,0.0
2021-08-23,광주,1차,12-64세,건수,10189.0
2021-08-23,광주,1차,12-64세,접종률,46.70178426070603
2021-08-23,광주,1차,5-11세,건수,0.0
2021-08-23,광주,1차,5-11세,접종률,0.0
2021-08-23,광주,1차,65세이상,건수,145.0
2021-08-23,광주,1차,65세이상,접종률,93.38214683122818
2021-08-23,광주,1차,6개월-4세,건수,0.0
2021-08-23,광주,1차,6개월-4세,접종률,0.0
2021-08-23,광주,2차,12-64세,건수,10956.0
2021-08-23,광주,2차,12-64세,접종률,17.385267451978407
2021-08-23,광주,2차,5-11세,건수,0.0
2021-08-23,광주,2차,5-11세,접종률,0.0
2021-08-23,광주,2차,65세이상,건수,9299.0
2021-08-23,광주,2차,65세이상,접종률,67.05258776661258
2021-08-23,광주,2차,6개월-4세,건수,0.0
2021-08-23,광주,2차,6개월-4세,접종률,0.0
2021-08-23,광주,3차,12-64세,건수,0.0
2021-08-23,광주,3차,12-64세,접종률,0.00028069124898249425
2021-08-23,광주,3차,5-11세,건수,0.0
2021-08-23,광주,3차,5-11세,접종률,0.0
2021-08-23,광주,3차,65세이상,건수,0.0
2021-08-23,광주,3차,65세이상,접종률,0.0
2021-08-23,광주,3차,6개월-4세,건수,0.0
2021-08-23,광주,3차,6개월-4세,접종률,0.0
2021-08-23,대구,1차,12-64세,건수,18688.0
2021-08-23,대구,1차,12-64세,접종률,44.665553197165295
2021-08-23,대구,1차,5-11세,건수,0.0
2021-08-23,대구,1차,5-11세,접종률,0.0007363336475023562
2021-08-23,대구,1차,65세이상,건수,732.0
2021-08-23,대구,1차,65세이상,접종률,88.36850856996674
2021-08-23,대구,1차,6개월-4세,건수,0.0
2021-08-23,대구,1차,6개월-4세,접종률,0.0
2021-08-23,대구,2차,12-64세,건수,13890.0
2021-08-23,대구,2차,12-64세,접종률,14.5482329470986
