날짜,지역,차수,연령대,지표,값
2021-02-26,광주,1차,6개월-4세,건수,0.0
2021-02-26,광주,1차,6개월-4세,접종률,0.0
2021-02-26,광주,2차,12-64세,건수,49.0
2021-02-26,광주,2차,12-64세,접종률,0.004584623733380738
2021-02-26,광주,2차,5-11세,건수,0.0
2021-02-26,광주,2차,5-11세,접종률,0.0
2021-02-26,광주,2차,65세이상,건수,3.0
2021-02-26,광주,2차,65세이상,접종률,0.0012741342257935734
2021-02-26,광주,2차,6개월-4세,건수,0.0
2021-02-26,광주,2차,6개월-4세,접종률,0.0
2021-02-26,광주,3차,12-64세,건수,0.0
2021-02-26,광주,3차,12-64세,접종률,0.0
2021-02-26,광주,3차,5-11세,건수,0.0
2021-02-26,광주,3차,5-11세,접종률,0.0
2021-02-26,광주,3차,65세이상,건수,0.0
2021-02-26,광주,3차,65세이상,접종률,0.0
2021-02-26,광주,3차,6개월-4세,건수,0.0
2021-02-26,광주,3차,6개월-4세,접종률,0.0
2021-02-26,대구,1차,12-64세,건수,671.0
2021-02-26,대구,1차,12-64세,접종률,0.038913439344908776
2021-02-26,대구,1차,5-11세,건수,0.0
2021-02-26,대구,1차,5-11세,접종률,0.0
2021-02-26,대구,1차,65세이상,건수,54.0
2021-02-26,대구,1차,65세이상,접종률,0.011511895625479662
2021-02-26,대구,1차,6개월-4세,건수,0.0
2021-02-26,대구,1차,6개월-4세,접종률,0.0
2021-02-26,대구,2차,12-64세,건수,226.0
2021-02-26,대구,2차,12-64세,접종률,0.013106463922428292
2021-02-26,대구,2차,5-11세,건수,0.0
2021-02-26,대구,2차,5-11세,접종률,0.0
2021-02-26,대구,2차,65세이상,건수,30.0
2021-02-26,대구,2차,65세이상,접종률,0.006395497569710924
2021-02-26,대구,2차,6개월-4세,건수,0.0
2021-02-26,대구,2차,6개월-4세,접종률,0.0
2021-02-26,대구,3차,12-64세,건수,0.0
2021-02-26,대구,3차,12-64세,접종률,0.0
2021-02-26,대구,3차,5-11세,건수,0.0
2021-02-26,대구,3차,5-11세,접종률,0.0
2021-02-26,대구,3차,65세이상,건수,0.0
2021-02-26,대구,3차,65세이상,접종률,0.0
2021-02-26,대구,3차,6개월-4세,건수,0.0
2021-02-26,대구,3차,6개월-4세,접종률,0.0
2021-02-26,대전,1차,12-64세,건수,580.0
2021-02-26,대전,1차,12-64세,접종률,0.05371668523596906
2021-02-26,대전,1차,5-11세,건수,0.0
2021-02-26,대전,1차,5-11세,접종률,0.0
2021-02-26,대전,1차,65세이상,건수,61.0
2021-02-26,대전,1차,65세이상,접종률,0.02478395299987405
2021-02-26,대전,1차,6개월-4세,건수,0.0
2021-02-26,대전,1차,6개월-4세,접종률,0.0
2021-02-26,대전,2차,12-64세,건수,85.0
2021-02-26,대전,2차,12-64세,접종률,0.00787227283630581
2021-02-26,대전,2차,5-11세,건수,0.0
2021-02-26,대전,2차,5-11세,접종률,0.0
2021-02-26,대전,2차,65세이상,건수,12.0
2021-02-26,대전,2차,65세이상,접종률,0.004875531737680141
2021-02-26,대전,2차,6개월-4세,건수,0.0
2021-02-26,대전,2차,6개월-4세,접종률,0.0
2021-02-26,대전,3차,12-64세,건수,0.0
2021-02-26,대전,3차,12-64세,접종률,0.0
2021-02-26,대전,3차,5-11세,건수,0.0
2021-02-26,대전,3차,5-11세,접종률,0.0
2021-02-26,대전,3차,65세이상,건수,0.0
2021-02-26,대전,3차,65세이상,접종률,0.0
2021-02-26,대전,3차,6개월-4세,건수,0.0
2021-02-26,대전,3차,6개월-4세,접종률,0.0
2021-02-26,부산,1차,12-64세,건수,799.0
2021-02-26,부산,1차,12-64세,접종률,0.03456356256459039
2021-02-26,부산,1차,5-11세,건수,0.0
2021-02-26,부산,1차,5-11세,접종률,0.0
2021-02-26,부산,1차,65세이상,건수,120.0
2021-02-26,부산,1차,65세이상,접종률,0.016036220476649928
2021-02-26,부산,1차,6개월-4세,건수,0.0
2021-02-26,부산,1차,6개월-4세,접종률,0.0
2021-02-26,부산,2차,12-64세,건수,195.0
2021-02-26,부산,2차,12-64세,접종률,0.008435412640920056
2021-02-26,부산,2차,5-11세,건수,0.0
2021-02-26,부산,2차,5-11세,접종률,0.0
2021-02-26,부산,2차,65세이상,건수,31.0
2021-02-26,부산,2차,65세이상,접종률,0.004142690289801231
2021-02-26,부산,2차,6개월-4세,건수,0.0
2021-02-26,부산,2차,6개월-4세,접종률,0.0
2021-02-26,부산,3차,12-64세,건수,0.0
2021-02-26,부산,3차,12-64세,접종률,0.0
2021-02-26,부산,3차,5-11세,건수,0.0
2021-02-26,부산,3차,5-11세,접종률,0.0
2021-02-26,부산,3차,65세이상,건수,0.0
2021-02-26,부산,3차,65세이상,접종률,0.0
2021-02-26,부산,3차,6개월-4세,건수,0.0
2021-02-26,부산,3차,6개월-4세,접종률,0.0
2021-02-26,서울,1차,12-64세,건수,3748.0
2021-02-26,서울,1차,12-64세,접종률,0.05335611835093151
2021-02-26,서울,1차,5-11세,건수,1.0
2021-02-26,서울,1차,5-11세,접종률,0.0002295036066491785
2021-02-26,서울,1차,65세이상,건수,916.0
2021-02-26,서울,1차,65세이상,접종률,0.05310474330871538
2021-02-26,서울,1차,6개월-4세,건수,0.0
2021-02-26,서울,1차,6개월-4세,접종률,0.0
2021-02-26,서울,2차,12-64세,건수,1211.0
2021-02-26,서울,2차,12-64세,접종률,0.01723966364006885
2021-02-26,서울,2차,5-11세,건수,0.0
2021-02-26,서울,2차,5-11세,접종률,0.0
